;time_in_ms;TransGroundSpeed;LonGroundSpeed;RPMOrder;AzimuthOrder;CourseTrue;x;y
1847176;1540296324409;0.29;8.34;64.425774;-4.543941;164.4;250.3641269435052;985.2017498562263
1847177;1540296325409;0.09;8.32;64.70587900000001;-4.541445;163.87;251.06532614989885;982.7376668884864
1847178;1540296326409;0.03;8.31;64.70587900000001;-4.538948;164.87;251.76252421979558;980.264688316792
1847179;1540296327409;-0.02;8.3;64.70587900000001;-4.538948;166.13;252.40870779664735;977.7839260865019
1847180;1540296328409;0.17;8.3;64.70587900000001;-4.538948;168.57;252.97936991827802;975.2953802023565
1847181;1540296329409;0.32;8.36;64.425774;-4.538948;170.6;253.4309982232184;972.7756996948898
1847182;1540296330409;0.06;8.36;64.425774;-4.543941;170.01;253.8596199921023;970.2315562710177
1847183;1540296331409;-0.19;8.29;64.425774;-4.538948;169.59;254.32575241744354;967.711875765921
1847184;1540296332409;0.09;8.35;64.425774;-4.538948;172.75;254.74437134464105;965.1832996513396
1847185;1540296333409;0.3;8.35;64.425774;2.658555;175.43;254.9744367047614;962.6135813585927
1847186;1540296334409;-0.14;8.28;64.425774;-3.949734;173.26;255.23050945353287;960.0683259830412
1847187;1540296335409;0.16;8.36;64.425774;-3.3630160000000004;176.35;255.48558191804685;957.5219586589706
1847188;1540296336409;0.19;8.35;64.425774;-2.998502;177.98;255.58811104591018;954.9422328074294
1847189;1540296337409;-0.19;8.3;64.425774;-1.89747;176.16;255.72064869918808;952.3858579229845
1847190;1540296338409;0.01;8.31;64.70587900000001;-1.293276;178.03;255.86669018860937;949.8317069434785
1847191;1540296339409;0.48;8.4;64.70587900000001;-1.305759;181.96;255.85918805730014;947.2530930436169
1847192;1540296340409;0.2;8.37;64.425774;-0.7190409999999999;180.69;255.770162765758;944.6689193908887
1847193;1540296341409;-0.1;8.35;64.425774;-0.419441;179.22;255.79516987015168;942.0958652454738
1847194;1540296342409;0.31;8.45;64.70587900000001;-0.13482;182.63;255.75465836101074;939.507243787608
1847195;1540296343409;0.29;8.44;64.425774;0.169534;182.79;255.62312099207918;936.9075028255893
1847196;1540296344409;0.29;8.44;64.425774;0.167004;183.16;255.48908291268154;934.3122096647576
1847197;1540296345409;0.28;8.37;64.425774;0.76417;183.21;255.33954042853674;931.7213643066934
1847198;1540296346409;0.27;8.35;64.70587900000001;1.379049;182.77;255.2075029174764;929.1483101612785
1847199;1540296347409;0.55;8.44;64.70587900000001;0.174595;184.6;255.0549595808257;926.5708082130961
1847200;1540296348409;0.44;8.44;64.425774;0.172065;184.08;254.82539436274527;923.9621716423825
1847201;1540296349409;0.1;8.43;64.425774;0.172065;181.38;254.71786381394995;921.366878481551
